kind,rep,family,n,rounds,mode,total_ns,preparation_ns,setup_ns,execution_ns,observation_ns,disposal_ns,first_cold_ns,cancellation_ns,requested_bytes,peak_increment_bytes
time,1,reopen,4,2,subscribed,619959,58740,176482,182815,131479,70443,286555,159221,,
time,1,binding,4,2,indexed,545689,55695,174714,122750,122300,70230,248895,159677,,
time,1,inactive,4,8,eager,1689466,163673,604492,292388,410102,218811,743198,393164,,
time,1,unique,4,8,subscribed,1894416,157813,304817,767295,416281,248210,798949,270505,,
time,1,inactive,4,2,subscribed,568910,57950,179924,134294,127034,69708,264157,144589,,
time,1,selective,2,8,compiled,220118,25421,34677,143265,7143,9612,119752,32120,,
time,1,selective,2,8,eager,67684,12493,22218,12790,11798,8385,35167,19097,,
time,1,inactive,2,2,indexed,156635,20088,71838,16040,28671,19998,74183,54407,,
time,1,churn-broad,2,2,compiled,951660,31123,88209,790528,21521,20279,487271,66159,,
time,1,consuming,4,8,subscribed,699078,33434,83492,509944,37461,34747,337724,76180,,
time,1,unique,4,8,eager,1731597,161157,639925,321703,396305,212507,767540,415836,,
time,1,churn-sparse,4,8,eager,1874677,153958,640323,456374,398854,225168,828585,430063,,
time,1,unique,4,2,eager,872950,57670,521059,81052,125453,87716,404095,310034,,
time,1,dense,4,2,indexed,329395,41143,47220,94637,97838,48557,148188,59357,,
time,1,churn-broad,2,2,subscribed,236795,26902,97105,53639,34043,25106,113598,97914,,
time,1,reopen,4,2,eager,858293,57544,510784,79471,122664,87830,395822,312956,,
time,1,inactive,2,8,subscribed,305321,37260,105042,61440,65173,36406,147776,81224,,
time,1,dense,4,2,subscribed,388316,41066,48350,148868,101896,48136,180803,75031,,
time,1,dense,2,8,compiled,744564,32295,45299,608686,37524,20760,376045,35142,,
time,1,binding,4,8,indexed,1305644,148307,261095,329819,380920,185503,581438,246283,,
time,1,inactive,2,8,eager,332829,35173,144173,48698,64271,40514,156031,117208,,
time,1,reopen,4,8,subscribed,1736069,158671,295777,662206,403717,215698,759717,250735,,
time,1,selective,4,2,compiled,146020,23041,32398,76844,5271,8466,81814,23330,,
time,1,binding,2,8,indexed,317725,38495,102671,75050,63807,37702,150248,87114,,
time,1,selective,2,2,eager,50438,14387,17627,5134,7243,6047,29287,12843,,
time,1,churn-broad,4,8,compiled,36079732,129028,353008,35134501,295373,167822,18070406,261847,,
time,1,unique,2,2,subscribed,217723,25680,93556,41098,34724,22665,108906,73795,,
time,1,reopen,2,8,compiled,2207957,41592,127283,1960154,44303,34625,1100759,86653,,
time,1,churn-sparse,4,8,subscribed,1578235,167832,298295,506740,405475,199893,695521,259288,,
time,1,reopen,2,8,indexed,319038,37145,114863,62078,64467,40485,148013,87251,,
time,1,reopen,4,8,indexed,1368186,161350,278083,315081,400368,213304,595382,243768,,
time,1,dense,2,2,compiled,280808,23895,25342,205926,14571,11074,146821,22643,,
time,1,unique,4,2,indexed,539774,57758,182804,93839,135218,70155,252588,132055,,
time,1,churn-broad,2,8,subscribed,442719,39530,139314,147457,66484,49934,207542,120520,,
time,1,churn-broad,4,8,subscribed,1826955,21874,366830,825682,397734,214835,736053,319183,,
time,1,consuming,4,2,eager,190892,21086,56619,91049,13504,8634,102583,47022,,
time,1,churn-sparse,2,8,compiled,2292837,42320,132708,2040979,44917,31913,1132337,95675,,
time,1,churn-sparse,2,8,eager,416911,41103,173094,92071,64644,45999,195618,120684,,
time,1,inactive,2,2,subscribed,179768,21580,80682,24515,31072,21919,84839,54853,,
time,1,dense,2,2,subscribed,100927,16395,19316,32953,20536,11727,53179,28578,,
time,1,churn-sparse,4,2,eager,985923,61261,564509,132343,133494,94316,466719,329467,,
time,1,inactive,4,8,compiled,22099459,115555,256832,21331698,254770,140604,10954410,203940,,
time,1,churn-broad,2,8,indexed,404113,38745,141641,108533,68936,46258,197177,103840,,
time,1,unique,4,2,compiled,8208237,53393,174600,7837327,89364,53553,4112727,112030,,
time,1,binding,4,8,subscribed,1410926,150280,274783,402733,387044,196086,610424,257925,,
time,1,dense,2,8,eager,190821,30882,38442,49237,47016,25244,92166,41523,,
time,1,consuming,4,8,eager,571079,29807,101491,374627,32673,32481,281773,69286,,
time,1,dense,4,8,eager,1081693,12939,191251,324860,373924,178719,404642,171089,,
time,1,consuming,4,2,indexed,93694,19800,23984,30339,11604,7967,51936,20903,,
time,1,churn-broad,2,8,compiled,2995020,44007,162420,2699425,51123,38045,1490713,111547,,
time,1,consuming,2,8,compiled,426533,25611,52109,312493,22561,13759,214577,31214,,
time,1,churn-sparse,2,8,indexed,364699,41304,128658,85787,68459,40491,176052,94078,,
time,1,binding,2,8,compiled,1701223,42147,105684,1477416,43152,32824,840262,84356,,
time,1,dense,2,2,indexed,75135,14724,16138,18695,16136,9442,38526,22411,,
time,1,selective,4,2,eager,60129,13762,25930,4461,8215,7761,32424,19294,,
time,1,unique,2,2,indexed,160119,21263,74145,17731,28130,18850,78088,53955,,
time,1,dense,4,8,compiled,18875417,107151,170408,18179878,253070,164910,9136361,170188,,
time,1,consuming,2,8,eager,182603,26653,42983,82010,17612,13345,95340,40551,,
time,1,binding,2,2,compiled,795629,31087,83371,636198,22319,22654,389451,67777,,
