built False time
built False meter
built True time
built True meter
132 {'source': 'continuing', 'mode': 'templates', 'enabled': False, 'resource': True, 'demand': 32, 'keep': '0'} meter 0 0
133 {'source': 'continuing', 'mode': 'templates', 'enabled': False, 'resource': True, 'demand': 32, 'keep': 'all'} meter 0 0
134 {'source': 'continuing', 'mode': 'templates', 'enabled': False, 'resource': True, 'demand': 128, 'keep': '0'} meter 0 0
135 {'source': 'continuing', 'mode': 'templates', 'enabled': False, 'resource': True, 'demand': 128, 'keep': 'all'} meter 0 0
136 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': False, 'demand': 32, 'keep': '0'} meter 0 0
137 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': False, 'demand': 32, 'keep': 'all'} meter 0 0
138 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': False, 'demand': 128, 'keep': '0'} meter 0 0
139 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': False, 'demand': 128, 'keep': 'all'} meter 0 0
140 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': True, 'demand': 32, 'keep': '0'} meter 0 0
141 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': True, 'demand': 32, 'keep': 'all'} meter 0 0
142 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': True, 'demand': 128, 'keep': '0'} meter 0 0
143 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': True, 'demand': 128, 'keep': 'all'} meter 0 0
144 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': False, 'resource': False, 'demand': 32, 'keep': '0'} meter 0 0
145 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': False, 'resource': False, 'demand': 32, 'keep': 'all'} meter 0 0
146 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': False, 'resource': False, 'demand': 128, 'keep': '0'} meter 0 0
147 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': False, 'resource': False, 'demand': 128, 'keep': 'all'} meter 0 0
148 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': False, 'resource': True, 'demand': 32, 'keep': '0'} meter 0 0
149 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': False, 'resource': True, 'demand': 32, 'keep': 'all'} meter 0 0
