family,choices,depth,history,reverse,consumer,mode,counted,median_ns,min_ns,max_ns,requested_bytes,peak_excess,signal_limited
common,0,0,True,True,all,active-native-indexed,False,147636,127364,207142,94831,17598,False
common,0,0,True,True,all,active-native-indexed,True,165862,157368,199507,101356,18125,False
common,0,0,True,True,all,active-native-scan,False,153031,136909,185754,87375,16562,False
common,0,0,True,True,all,active-native-scan,True,140401,136194,170273,93900,17089,False
common,0,0,True,True,all,active-scan,False,131154,115500,140064,85327,16330,False
common,0,0,True,True,all,active-scan,True,140746,134379,150383,91852,16857,False
common,0,0,True,True,all,birth,False,97746,77910,109350,86561,18439,False
common,0,0,True,True,all,birth,True,123620,108048,129076,93086,18966,False
common,0,0,True,True,all,birth-miss,False,92618,90498,97248,86533,18447,False
common,0,0,True,True,all,birth-miss,True,118299,98111,146406,93058,18974,False
common,0,0,True,True,all,birth-miss-template,False,119372,99463,133849,102793,21223,False
common,0,0,True,True,all,birth-miss-template,True,132709,129763,158117,109318,21750,False
common,0,0,True,True,all,conditional,False,310039,266527,352367,352552,22942,False
common,0,0,True,True,all,conditional,True,319458,287134,413354,359077,23469,False
common,0,0,True,True,all,indexed,False,153070,148675,211640,106363,17646,False
common,0,0,True,True,all,indexed,True,160582,134764,182169,112888,18173,False
common,0,0,True,True,all,native-indexed,False,143617,135490,195405,104059,17542,False
common,0,0,True,True,all,native-indexed,True,156969,140083,167817,110584,18069,False
common,0,0,True,True,all,native-scan,False,132321,117764,137844,89103,15482,False
common,0,0,True,True,all,native-scan,True,141820,134632,147113,95628,16009,False
common,0,0,True,True,all,scan,False,120282,110652,129636,85135,15250,False
common,0,0,True,True,all,scan,True,124365,120914,142315,91660,15777,False
common,0,0,True,True,all,sealed-indexed,False,152191,137416,161710,106707,18342,False
common,0,0,True,True,all,sealed-indexed,True,161408,155603,215803,113232,18869,False
common,0,0,True,True,all,sealed-scan,False,129857,109491,134293,85479,15946,False
common,0,0,True,True,all,sealed-scan,True,143131,114733,153332,92004,16473,False
common,0,0,True,True,immediate,active-indexed,False,153463,132408,199778,95695,15210,False
common,0,0,True,True,immediate,active-indexed,True,173769,146746,335485,102220,15737,False
common,0,0,True,True,immediate,active-native-indexed,False,163950,144705,221531,94831,15234,False
common,0,0,True,True,immediate,active-native-indexed,True,189962,170338,225487,101356,15761,False
common,0,0,True,True,immediate,active-native-scan,False,162877,147694,225695,87375,14198,False
common,0,0,True,True,immediate,active-native-scan,True,173470,154296,199904,93900,14725,False
common,0,0,True,True,immediate,active-scan,False,153271,128699,253217,85327,13966,False
common,0,0,True,True,immediate,active-scan,True,159245,132208,274536,91852,14493,False
common,0,0,True,True,immediate,birth,False,100929,90724,138777,86561,15393,False
common,0,0,True,True,immediate,birth,True,125525,112651,173501,93086,15920,False
common,0,0,True,True,immediate,birth-miss,False,106383,89353,140248,86533,15393,False
common,0,0,True,True,immediate,birth-miss,True,118694,116740,172853,93058,15920,False
