case	mode	limit	status	steps	raw	failed	answers	exhausted	issued	committed_equations	lookahead_visits	projection_dereferences	max_outstanding	owner_buffered_peak	uncommitted_at_shutdown	calls	pairs	resolve_nodes	occurs_nodes	worker_completion
U06-union-cycle	Threads(1)	4	pass	7	2	0	2	true	2	2	10	4	2	1	0	2	2	14	4	[(0, 0), (0, 1)]
U06-union-cycle	Threads(2)	1	pass	7	2	0	2	true	2	2	8	4	1	1	0	2	2	14	4	[(0, 0), (1, 1)]
U06-union-cycle	Threads(2)	4	pass	7	2	0	2	true	2	2	10	4	2	1	0	2	2	14	4	[(0, 0), (1, 1)]
V01-fresh	Owned	0	pass	7	1	0	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
V01-fresh	Shared	0	pass	7	1	0	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
V01-fresh	Inline	1	pass	7	1	0	1	true	0	0	7	0	0	0	0	0	0	0	0	[]
V01-fresh	Inline	4	pass	7	1	0	1	true	0	0	7	0	0	0	0	0	0	0	0	[]
V01-fresh	Threads(1)	1	pass	7	1	0	1	true	0	0	7	0	0	0	0	0	0	0	0	[]
V01-fresh	Threads(1)	4	pass	7	1	0	1	true	0	0	7	0	0	0	0	0	0	0	0	[]
V01-fresh	Threads(2)	1	pass	7	1	0	1	true	0	0	7	0	0	0	0	0	0	0	0	[]
V01-fresh	Threads(2)	4	pass	7	1	0	1	true	0	0	7	0	0	0	0	0	0	0	0	[]
app-add-decompose	Owned	0	pass	40	4	1	4	true	16	16	0	0	0	0	0	16	19	108	28	[]
app-add-decompose	Shared	0	pass	40	4	1	4	true	0	0	0	0	0	0	0	0	0	0	0	[]
app-add-decompose	Inline	1	pass	40	4	1	4	true	16	16	47	20	1	1	0	16	19	108	28	[]
app-add-decompose	Inline	4	pass	40	4	1	4	true	16	16	67	20	2	2	0	16	19	108	28	[]
app-add-decompose	Threads(1)	1	pass	40	4	1	4	true	16	16	47	20	1	1	0	16	19	108	28	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15)]
app-add-decompose	Threads(1)	4	pass	40	4	1	4	true	16	16	67	20	2	1	0	16	19	108	28	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15)]
