case	mode	pass	solutions	exhausted	classes	retained_candidates	pattern_nodes	unions	domain_compares	enumeration_cache_hits	domain_cache_hits	filter_candidates	output_nodes	emitted	intersection_pairs	transition_pairs	productivity_checks	witness_nodes	ground_checks	membership_steps	membership_hits	enumeration_checks	size_partitions	enumeration_candidates	allocation_calls	build_requested	compile_requested	output_requested	requested_bytes	baseline_live	peak_live	final_live	build_us	compile_us	output_us
disjoint-h4-n3	Intersect	true	0	true	4	0	7	0	7	0	3	0	0	0	2	12	6	1	0	0	0	0	0	0	146	3439	3931	0	7370	731	5992	1158	7	16	0
disjoint-h4-n5	FilterFirst	true	0	true	4	0	7	0	7	0	3	18	0	0	0	0	0	0	80	54	0	30	21	47	733	3439	30661	0	34100	733	17466	1160	7	62	0
disjoint-h4-n5	FilterSmallest	true	0	true	4	0	7	0	8	0	3	4	0	0	0	0	0	0	14	21	1	40	28	51	749	3439	30272	0	33711	736	17469	1163	7	67	0
disjoint-h4-n5	Intersect	true	0	true	4	0	7	0	7	0	3	0	0	0	2	12	6	1	0	0	0	0	0	0	146	3439	3931	0	7370	731	5992	1158	7	18	0
disjoint-h4-n7	FilterFirst	true	0	true	4	0	7	0	7	0	3	93	0	0	0	0	0	0	605	353	0	42	48	239	4250	3439	165215	0	168654	733	75689	1160	8	403	0
disjoint-h4-n7	FilterSmallest	true	0	true	4	0	7	0	8	0	3	9	0	0	0	0	0	0	49	83	7	56	64	248	4116	3439	147070	0	150509	736	75692	1163	8	387	0
disjoint-h4-n7	Intersect	true	0	true	4	0	7	0	7	0	3	0	0	0	2	12	6	1	0	0	0	0	0	0	146	3439	3931	0	7370	731	5992	1158	8	18	0
disjoint-h4-n9	FilterFirst	true	0	true	4	0	7	0	7	0	3	527	0	0	0	0	0	0	4511	2307	0	54	87	1355	30014	3439	1119776	0	1123215	733	499805	1160	8	2330	0
disjoint-h4-n9	FilterSmallest	true	0	true	4	0	7	0	8	0	3	23	0	0	0	0	0	0	175	321	35	72	116	1378	28590	3439	977540	0	980979	736	499808	1163	7	2520	0
disjoint-h4-n9	Intersect	true	0	true	4	0	7	0	7	0	3	0	0	0	2	12	6	1	0	0	0	0	0	0	146	3439	3931	0	7370	731	5992	1158	9	24	0
overlap-h1-n1	FilterFirst	true	0	true	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	6	3	3	69	900	3761	0	4661	732	3651	820	4	14	0
overlap-h1-n1	FilterSmallest	true	0	true	1	0	1	0	2	0	0	1	0	0	0	0	0	0	1	1	0	12	6	6	94	900	5906	0	6806	735	4437	823	4	16	0
overlap-h1-n1	Intersect	true	0	true	1	0	1	0	1	0	0	0	0	0	4	36	15	4	0	0	0	13	4	4	138	900	8552	0	9452	730	5167	818	4	24	0
overlap-h1-n3	FilterFirst	true	2	true	1	2	1	0	1	0	0	4	6	2	0	0	0	0	10	12	0	18	6	11	163	900	8276	390	9566	732	5802	1600	4	22	0
overlap-h1-n3	FilterSmallest	true	2	true	1	2	1	0	2	0	0	4	6	2	0	0	0	0	10	12	0	36	12	22	252	900	13514	390	14804	735	6984	1603	7	28	0
overlap-h1-n3	Intersect	true	2	true	1	2	1	0	1	0	0	0	6	2	4	36	15	4	0	0	0	39	13	18	280	900	15548	390	16838	730	9096	1598	4	30	0
overlap-h1-n5	FilterFirst	true	14	true	1	14	1	0	1	0	0	18	66	14	0	0	0	0	80	98	2	30	21	47	847	900	34039	3906	38845	732	15410	7480	6	72	4
overlap-h1-n5	FilterSmallest	true	14	true	1	14	1	0	2	0	0	18	66	14	0	0	0	0	80	98	2	60	42	94	1392	900	56708	3906	61514	735	20120	7483	4	108	4
overlap-h1-n5	Intersect	true	14	true	1	14	1	0	1	0	0	0	66	14	4	36	15	4	0	0	0	65	58	94	1398	900	53682	3906	58488	730	27476	7382	3	73	3
overlap-h1-n7	FilterFirst	true	84	true	1	84	1	0	1	0	0	93	556	84	0	0	0	0	605	725	18	42	48	239	5778	900	201979	35308	238187	732	73633	59532	4	429	52
overlap-h1-n7	FilterSmallest	true	84	true	1	84	1	0	2	0	0	93	556	84	0	0	0	0	605	725	18	84	96	478	9540	900	333402	35308	369610	735	104166	59535	4	711	39
overlap-h1-n7	Intersect	true	84	true	1	84	1	0	1	0	0	0	556	84	4	36	15	4	0	0	0	91	139	536	9772	900	302182	35308	338390	730	139740	57418	5	991	75
overlap-h1-n9	FilterFirst	true	504	true	1	504	1	0	1	0	0	527	4336	504	0	0	0	0	4511	5259	122	54	87	1355	42618	900	1396160	237232	1634292	732	497749	426516	5	2959	273
overlap-h1-n9	FilterSmallest	true	504	true	1	504	1	0	2	0	0	527	4336	504	0	0	0	0	4511	5259	122	108	174	2710	70377	900	2330960	237232	2569092	735	719870	426519	7	6118	313
overlap-h1-n9	Intersect	true	504	true	1	504	1	0	1	0	0	0	4336	504	4	36	15	4	0	0	0	117	256	3228	74664	900	2212700	237232	2450832	730	969400	426130	7	4797	416
overlap-h2-n1	FilterFirst	true	0	true	2	0	3	0	3	0	1	1	0	0	0	0	0	0	1	1	0	6	3	3	97	1865	3937	0	5802	732	4672	933	6	15	0
overlap-h2-n1	FilterSmallest	true	0	true	2	0	3	0	4	0	1	1	0	0	0	0	0	0	1	1	0	12	6	6	122	1865	6082	0	7947	735	5458	936	6	16	0
overlap-h2-n1	Intersect	true	0	true	2	0	3	0	3	0	1	0	0	0	4	36	15	4	0	0	0	13	4	4	166	1865	8728	0	10593	730	6188	931	6	22	0
overlap-h2-n3	FilterFirst	true	4	true	2	2	3	0	3	0	1	4	28	4	0	0	0	0	10	12	0	18	6	11	223	1865	8452	1372	11689	732	6823	2695	5	24	2
overlap-h2-n3	FilterSmallest	true	4	true	2	2	3	0	4	0	1	4	28	4	0	0	0	0	10	12	0	36	12	22	312	1865	13690	1372	16927	735	8005	2698	5	39	2
overlap-h2-n3	Intersect	true	4	true	2	2	3	0	3	0	1	0	28	4	4	36	15	4	0	0	0	39	13	18	340	1865	15724	1372	18961	730	10117	2693	6	32	2
overlap-h2-n5	FilterFirst	true	196	true	2	14	3	0	3	0	1	18	2044	196	0	0	0	0	80	98	2	30	21	47	3755	1865	34215	115132	151212	732	107299	107299	5	69	202
overlap-h2-n5	FilterSmallest	true	196	true	2	14	3	0	4	0	1	18	2044	196	0	0	0	0	80	98	2	60	42	94	4300	1865	56884	115132	173881	735	107302	107302	4	75	133
overlap-h2-n5	Intersect	true	196	true	2	14	3	0	3	0	1	0	2044	196	4	36	15	4	0	0	0	65	58	94	4306	1865	53858	115132	170855	730	107201	107201	6	117	199
overlap-h2-n7	FilterFirst	true	7056	false	2	84	3	0	3	0	1	93	12560	1024	0	0	0	0	605	725	18	42	48	239	23345	1865	202155	664400	868420	732	645729	645729	7	455	1756
overlap-h2-n7	FilterSmallest	true	7056	false	2	84	3	0	4	0	1	93	12560	1024	0	0	0	0	605	725	18	84	96	478	27107	1865	333578	664400	999843	735	645732	645732	6	772	1251
overlap-h2-n7	Intersect	true	7056	false	2	84	3	0	3	0	1	0	12560	1024	4	36	15	4	0	0	0	91	139	536	27339	1865	302358	664400	968623	730	643615	643615	7	701	1123
overlap-h2-n9	FilterFirst	true	254016	false	2	504	3	0	3	0	1	527	12880	1024	0	0	0	0	4511	5259	122	54	87	1355	55203	1865	1396336	680080	2078281	732	844901	844901	5	3231	962
overlap-h2-n9	FilterSmallest	true	254016	false	2	504	3	0	4	0	1	527	12880	1024	0	0	0	0	4511	5259	122	108	174	2710	82962	1865	2331136	680080	3013081	735	844904	844904	5	4478	810
overlap-h2-n9	Intersect	true	254016	false	2	504	3	0	3	0	1	0	12880	1024	4	36	15	4	0	0	0	117	256	3228	87249	1865	2212876	680080	2894821	730	970421	844515	8	6347	908
overlap-h4-n1	FilterFirst	true	0	true	4	0	7	0	7	0	3	1	0	0	0	0	0	0	1	1	0	6	3	3	153	3795	4289	0	8084	732	6714	1159	9	21	0
overlap-h4-n1	FilterSmallest	true	0	true	4	0	7	0	8	0	3	1	0	0	0	0	0	0	1	1	0	12	6	6	178	3795	6434	0	10229	735	7500	1162	9	20	0
overlap-h4-n1	Intersect	true	0	true	4	0	7	0	7	0	3	0	0	0	4	36	15	4	0	0	0	13	4	4	222	3795	9080	0	12875	730	8230	1157	7	29	0
overlap-h4-n3	FilterFirst	true	16	true	4	2	7	0	7	0	3	4	240	16	0	0	0	0	10	12	0	18	6	11	593	3795	8804	12336	24935	732	13309	13309	7	28	34
overlap-h4-n3	FilterSmallest	true	16	true	4	2	7	0	8	0	3	4	240	16	0	0	0	0	10	12	0	36	12	22	682	3795	14042	12336	30173	735	13312	13312	8	41	26
