case	mode	pass	steps	applications	introductions	equations	pairs	dereferences	occurs	head_candidates	splits	failed	raw	answers	max_frontier	pending	map_visits	map_allocations	snapshot_copies	pending_allocations	term_requests	term_nodes	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
carry-k3-w4-n3	Persistent	true	107	39	39	14	14	69	14	47	7	0	8	8	8	0	767	378	0	60	26	8	44	0	1646	85112	13280	34906	33382	110
carry-k3-w4-n3	Copy	true	107	39	39	14	14	69	14	47	7	0	8	8	8	0	767	437	59	60	26	8	44	0	1722	89416	13274	34900	33376	126
grid-carry-k0-w0-n0	Persistent	true	2	0	1	0	0	0	0	1	0	0	1	1	1	0	3	1	0	1	2	2	0	0	60	3740	3344	6046	5854	13
grid-carry-k0-w0-n0	Copy	true	2	0	1	0	0	0	0	1	0	0	1	1	1	0	3	1	0	1	2	2	0	0	60	3740	3338	6040	5848	11
grid-carry-k0-w0-n16	Persistent	true	18	0	17	0	0	0	0	1	0	0	1	1	1	0	72	74	0	17	138	17	0	0	1341	44084	19074	42004	40204	86
grid-carry-k0-w0-n16	Copy	true	18	0	17	0	0	0	0	1	0	0	1	1	1	0	72	74	0	17	138	17	0	0	1341	44084	19068	41998	40198	89
grid-carry-k0-w0-n128	Persistent	true	130	0	129	0	0	0	0	1	0	0	1	1	1	0	772	891	0	129	8258	129	0	0	67911	1531516	832980	1703414	1689966	3447
grid-carry-k0-w0-n128	Copy	true	130	0	129	0	0	0	0	1	0	0	1	1	1	0	772	891	0	129	8258	129	0	0	67911	1531516	832974	1703408	1689960	3359
grid-carry-k0-w1-n0	Persistent	true	4	1	2	0	0	0	0	2	0	0	1	1	1	0	6	3	0	2	3	3	0	0	79	4581	3393	6153	5937	22
grid-carry-k0-w1-n0	Copy	true	4	1	2	0	0	0	0	2	0	0	1	1	1	0	6	3	0	2	3	3	0	0	79	4581	3387	6147	5931	15
