case	mode	pass	quanta	projected_steps	expansions	projected_applications	introductions	projected_introductions	splits	failed	raw	answers	support_reads	support_writes	occurrence_scans	binding_scans	match_candidates	term_visits	term_copies	unification_pairs	occurs_visits	previewed	queue_scans	queue_refs	work_nodes	max_frontier	pending	retained_occurrences	variables	occurrence_births	binding_edges	tokens	support_memberships	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
grid-carry-k1-w8-n16	Singleton	true	56	56	17	17	34	34	1	0	2	2	137	216	593	8	19	238	956	2	2	56	56	19	37	2	0	18	1	34	2	16	108	1	0	3488	153979	27332	86306	85818	231
grid-carry-k1-w8-n16	Ready	true	40	56	9	17	26	34	1	0	2	2	132	216	582	8	19	274	852	2	2	56	72	19	29	2	0	17	1	26	2	9	108	1	0	3238	135131	27328	81637	81149	241
grid-carry-k1-w8-n128	Singleton	true	168	168	17	17	146	146	1	0	2	2	585	1112	4401	8	19	8358	25316	2	2	168	168	19	149	2	0	130	1	146	2	16	556	1	0	118667	3096131	1250878	3382548	3382060	5820
grid-carry-k1-w8-n128	Ready	true	152	168	9	17	138	146	1	0	2	2	580	1112	4390	8	19	8394	25212	2	2	168	184	19	141	2	0	129	1	138	2	9	556	1	0	118425	3084451	1250874	3378775	3378287	5689
grid-carry-k1-w64-n0	Singleton	true	264	264	129	129	130	130	1	0	2	2	409	536	329	8	131	718	22052	2	2	264	264	131	133	2	0	2	1	130	2	128	268	1	0	45521	1400835	6292	65050	64562	2134
grid-carry-k1-w64-n0	Ready	true	136	264	65	129	66	130	1	0	2	2	404	536	262	8	131	2798	17636	2	2	264	392	131	69	2	0	1	1	66	2	65	268	1	0	36412	1133491	6288	38206	37693	1857
grid-carry-k1-w64-n16	Singleton	true	280	280	129	129	146	146	1	0	2	2	473	664	4457	8	131	854	22460	2	2	280	280	131	149	2	0	18	1	146	2	128	332	1	0	47709	1526571	30078	134780	134292	2215
grid-carry-k1-w64-n16	Ready	true	152	280	65	129	82	146	1	0	2	2	468	664	4390	8	131	2934	18044	2	2	280	408	131	85	2	0	17	1	82	2	65	332	1	0	38535	1201419	30074	106551	106063	2468
grid-carry-k1-w64-n128	Singleton	true	392	392	129	129	258	258	1	0	2	2	921	1560	33353	8	131	8974	46820	2	2	392	392	131	261	2	0	130	1	258	2	128	780	1	0	162887	4468259	1253624	3430558	3430070	8202
grid-carry-k1-w64-n128	Ready	true	264	392	65	129	194	258	1	0	2	2	916	1560	33286	8	131	11054	42404	2	2	392	520	131	197	2	0	129	1	194	2	65	780	1	0	153779	4201379	1253620	3404153	3403665	7841
grid-carry-k1-w256-n0	Singleton	true	1032	1032	513	513	514	514	1	0	2	2	1561	2072	1289	8	515	2830	333860	2	2	1032	1032	515	517	2	0	2	1	514	2	512	1036	1	0	673103	17600667	15702	231156	230668	40644
grid-carry-k1-w256-n0	Ready	true	520	1032	257	513	258	514	1	0	2	2	1556	2072	1030	8	515	35726	267044	2	2	1032	1544	515	261	2	0	1	1	258	2	257	1036	1	0	538366	14126107	15698	127631	127143	30546
grid-carry-k1-w256-n16	Singleton	true	1048	1048	513	513	530	530	1	0	2	2	1625	2200	17705	8	515	2966	334268	2	2	1048	1048	515	533	2	0	18	1	530	2	512	1100	1	0	675483	17898435	39488	300886	300398	36711
