case	mode	pass	steps	applications	expansions	cache_hits	cache_misses	cache_retained	rules_examined	occurrence_scans	candidates	binding_reads	term_visits	unification_pairs	occurs_visits	fresh_variables	work_nodes	snapshot_entries	introductions	splits	failed	raw	answers	max_frontier	pending	retained_roots	retained_bindings	retained_pending	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
carry-k0-w0-n0	General	true	2	0	0	0	0	0	2	2	1	0	6	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	57	4240	2307	5221	4207	12
carry-k0-w0-n0	Local	true	2	0	0	0	0	0	2	1	1	0	6	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	56	4232	2305	5219	4205	10
carry-k0-w0-n0	Cached	true	2	0	0	0	0	0	2	1	1	0	6	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	56	4232	2306	5220	4206	10
carry-k0-w0-n3	General	true	5	0	0	0	0	0	2	8	1	0	18	0	0	0	4	0	4	0	0	1	1	1	0	0	0	0	0	0	142	6944	3189	7651	5875	21
carry-k0-w0-n3	Local	true	5	0	0	0	0	0	2	1	1	0	18	0	0	0	4	0	4	0	0	1	1	1	0	0	0	0	0	0	141	6920	3187	7649	5873	15
carry-k0-w0-n3	Cached	true	5	0	0	0	0	0	2	1	1	0	18	0	0	0	4	0	4	0	0	1	1	1	0	0	0	0	0	0	141	6920	3188	7650	5874	12
carry-k0-w1-n0	General	true	4	1	1	0	0	0	4	4	2	0	12	0	0	0	2	0	2	0	0	1	1	1	0	0	0	0	0	0	84	6806	2356	6051	4256	12
carry-k0-w1-n0	Local	true	4	1	1	0	0	0	4	2	2	0	12	0	0	0	2	0	2	0	0	1	1	1	0	0	0	0	0	0	82	6790	2354	6049	4254	14
carry-k0-w1-n0	Cached	true	4	1	1	0	1	1	4	2	2	0	12	0	0	0	2	0	2	0	0	1	1	1	0	0	0	0	0	0	86	7970	2355	7230	5724	14
carry-k0-w1-n3	General	true	7	1	1	0	0	0	4	13	2	0	24	0	0	0	5	0	5	0	0	1	1	1	0	0	0	0	0	0	169	9526	3238	7700	5924	24
carry-k0-w1-n3	Local	true	7	1	1	0	0	0	4	2	2	0	24	0	0	0	5	0	5	0	0	1	1	1	0	0	0	0	0	0	167	9478	3236	7698	5922	19
carry-k0-w1-n3	Cached	true	7	1	1	0	1	1	4	2	2	0	24	0	0	0	5	0	5	0	0	1	1	1	0	0	0	0	0	0	171	10658	3237	8991	7392	21
carry-k0-w4-n0	General	true	10	4	4	0	0	0	10	10	5	0	30	0	0	0	5	0	5	0	0	1	1	1	0	0	0	0	0	0	213	15680	2503	6786	4403	23
carry-k0-w4-n0	Local	true	10	4	4	0	0	0	10	5	5	0	30	0	0	0	5	0	5	0	0	1	1	1	0	0	0	0	0	0	208	15640	2501	6784	4401	22
carry-k0-w4-n0	Cached	true	10	4	4	0	4	4	10	5	5	0	30	0	0	0	5	0	5	0	0	1	1	1	0	0	0	0	0	0	233	19022	2502	10514	9234	23
carry-k0-w4-n3	General	true	13	4	4	0	0	0	10	28	5	0	42	0	0	0	8	0	8	0	0	1	1	1	0	0	0	0	0	0	298	18448	3385	8430	6071	30
carry-k0-w4-n3	Local	true	13	4	4	0	0	0	10	5	5	0	42	0	0	0	8	0	8	0	0	1	1	1	0	0	0	0	0	0	293	18328	3383	8428	6069	17
carry-k0-w4-n3	Cached	true	13	4	4	0	4	4	10	5	5	0	42	0	0	0	8	0	8	0	0	1	1	1	0	0	0	0	0	0	318	21710	3384	12501	10902	32
carry-k1-w0-n0	General	true	8	1	1	0	0	0	5	6	3	6	22	2	2	1	5	1	2	1	0	2	2	2	0	0	0	0	1	0	139	12633	3142	8807	6312	12
carry-k1-w0-n0	Local	true	8	1	1	0	0	0	5	3	3	6	22	2	2	1	5	1	2	1	0	2	2	2	0	0	0	0	1	0	137	12609	3140	8805	6310	27
carry-k1-w0-n0	Cached	true	8	1	1	0	1	1	5	3	3	6	22	2	2	1	5	1	2	1	0	2	2	2	0	0	0	0	1	0	139	13785	3141	10320	7825	19
carry-k1-w0-n3	General	true	11	1	1	0	0	0	5	18	3	6	40	2	2	1	8	4	5	1	0	2	2	2	0	0	0	0	1	0	256	16348	4489	11903	9231	25
carry-k1-w0-n3	Local	true	11	1	1	0	0	0	5	3	3	6	40	2	2	1	8	4	5	1	0	2	2	2	0	0	0	0	1	0	254	16284	4487	11901	9229	19
carry-k1-w0-n3	Cached	true	11	1	1	0	1	1	5	3	3	6	40	2	2	1	8	4	5	1	0	2	2	2	0	0	0	0	1	0	256	17460	4488	13416	10744	28
carry-k1-w1-n0	General	true	12	3	3	0	0	0	9	10	5	6	33	2	2	1	7	1	4	1	0	2	2	2	0	0	0	0	1	0	195	18002	3191	9669	6361	23
carry-k1-w1-n0	Local	true	12	3	3	0	0	0	9	5	5	6	33	2	2	1	7	1	4	1	0	2	2	2	0	0	0	0	1	0	191	17962	3189	9667	6359	24
