case	mode	pass	steps	pairs	root_reads	output_root_reads	absence_visits	occurs_visits	splits	copied_entries	completed_regions	failed_regions	eager_projection_visits	output_projection_visits	eager_nodes	bindings	raw	answers	max_frontier	retained_regions	observer_pairs	observer_scans	observer_backtracks	allocation_calls	construct_requested	solve_requested	observe_requested	requested_bytes	baseline_live	peak_live	final_live	construct_us	solve_us	observe_us
prefix-k2-w64	Eager	true	272	268	1080	16	8	0	0	0	4	0	536	8	536	8	4	4	4	4	8	0	0	2091	10058	44848	3072	57978	1550	54232	14840	20	145	6
prefix-k2-w64	Named	true	68	67	134	24	6	0	0	0	1	0	0	8	0	2	4	4	1	1	8	0	0	480	10058	3984	2784	16826	1550	14824	13264	19	11	4
prefix-k2-w256	Eager	true	1040	1036	4152	16	8	0	0	0	4	0	2072	8	2072	8	4	4	4	4	8	0	0	7912	38090	163992	3072	205154	1551	201409	42873	108	601	4
prefix-k2-w256	Named	true	260	259	518	24	6	0	0	0	1	0	0	8	0	2	4	4	1	1	8	0	0	1693	38090	11000	2784	51874	1551	49873	41297	60	24	4
prefix-k4-w0	Eager	true	96	80	384	128	64	0	0	0	16	0	160	64	160	64	16	16	16	16	208	0	0	756	1278	28592	18360	48230	6549	26259	25363	2	35	25
prefix-k4-w0	Named	true	6	5	10	192	12	0	0	0	1	0	0	64	0	4	16	16	1	1	208	0	0	311	1278	1728	17208	20214	6549	15379	14483	3	3	24
prefix-k4-w1	Eager	true	112	96	448	128	64	0	0	0	16	0	192	64	192	64	16	16	16	16	208	0	0	859	1424	31032	18360	50816	6549	26405	25509	2	33	20
prefix-k4-w1	Named	true	7	6	12	192	12	0	0	0	1	0	0	64	0	4	16	16	1	1	208	0	0	318	1424	1832	17208	20464	6549	15525	14629	3	3	29
prefix-k4-w8	Eager	true	224	208	896	128	64	0	0	0	16	0	416	64	416	64	16	16	16	16	208	0	0	1575	2446	47592	18360	68398	6549	42427	26531	5	117	26
prefix-k4-w8	Named	true	14	13	26	192	12	0	0	0	1	0	0	64	0	4	16	16	1	1	208	0	0	362	2446	2040	17208	21694	6549	16547	15651	5	6	25
prefix-k4-w64	Eager	true	1120	1104	4480	128	64	0	0	0	16	0	2208	64	2208	64	16	16	16	16	208	0	0	7306	10622	180672	18360	209654	6550	183684	34708	22	544	25
prefix-k4-w64	Named	true	70	69	138	192	12	0	0	0	1	0	0	64	0	4	16	16	1	1	208	0	0	717	10622	4304	17208	32134	6550	24724	23828	22	11	25
prefix-k4-w256	Eager	true	4192	4176	16768	128	64	0	0	0	16	0	8352	64	8352	64	16	16	16	16	208	0	0	26953	38654	636504	18360	693518	6551	667549	62741	81	2426	32
prefix-k4-w256	Named	true	262	261	522	192	12	0	0	0	1	0	0	64	0	4	16	16	1	1	208	0	0	1932	38654	11624	17208	67486	6551	55853	51861	121	34	28
prefix-k8-w0	Eager	true	2560	2304	11264	4096	2048	0	0	0	256	0	4608	2048	4608	2048	256	256	256	256	64256	0	0	18566	2406	739048	453040	1194494	174805	635963	621627	5	919	1872
prefix-k8-w0	Named	true	10	9	18	6144	24	0	0	0	1	0	0	2048	0	8	256	256	1	1	64256	0	0	7301	2406	2552	434608	439566	174805	366523	352187	3	5	1482
prefix-k8-w1	Eager	true	2816	2560	12288	4096	2048	0	0	0	256	0	5120	2048	5120	2048	256	256	256	256	64256	0	0	20108	2552	776424	453040	1232016	174805	636109	621773	6	972	1860
prefix-k8-w1	Named	true	11	10	20	6144	24	0	0	0	1	0	0	2048	0	8	256	256	1	1	64256	0	0	7307	2552	2552	434608	439712	174805	366669	352333	5	8	1453
prefix-k8-w8	Eager	true	4608	4352	19456	4096	2048	0	0	0	256	0	8704	2048	8704	2048	256	256	256	256	64256	0	0	30904	3574	1038264	453040	1494878	174805	850611	622795	7	2012	1804
prefix-k8-w8	Named	true	18	17	34	6144	24	0	0	0	1	0	0	2048	0	8	256	256	1	1	64256	0	0	7351	3574	2760	434608	440942	174805	367691	353355	6	6	1438
prefix-k8-w64	Eager	true	18944	18688	76800	4096	2048	0	0	0	256	0	37376	2048	37376	2048	256	256	256	256	64256	0	0	117275	11750	3133584	453040	3598374	174806	2954108	630972	25	9107	1068
prefix-k8-w64	Named	true	74	73	146	6144	24	0	0	0	1	0	0	2048	0	8	256	256	1	1	64256	0	0	7706	11750	5024	434608	451382	174806	375868	361532	24	14	1465
prefix-k8-w256	Eager	true	68096	67840	273408	4096	2048	0	0	0	256	0	135680	2048	135680	2048	256	256	256	256	64256	0	0	413402	39782	10317096	453040	10809918	174807	10165653	659005	81	33700	1000
prefix-k8-w256	Named	true	266	265	530	6144	24	0	0	0	1	0	0	2048	0	8	256	256	1	1	64256	0	0	8921	39782	12344	434608	486734	174807	403901	389565	81	34	1423
correlated-k0-w0	Eager	true	2	1	4	0	0	0	0	0	1	0	2	0	2	0	1	1	1	1	0	0	0	17	150	846	520	1516	921	2079	1855	0	3	0
correlated-k0-w0	Named	true	2	1	2	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	13	150	712	520	1382	921	2079	1855	0	2	0
