case	mode	pass	steps	applications	introductions	equations	pairs	dereferences	occurs	head_candidates	splits	failed	raw	answers	max_frontier	pending	map_visits	map_allocations	snapshot_copies	pending_allocations	term_requests	term_nodes	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
grid-carry-k0-w64-n0	Persistent	true	130	64	65	0	0	0	0	65	0	0	1	1	1	0	743	460	0	65	66	66	0	0	1948	110164	6356	29318	24062	862
grid-carry-k0-w64-n0	Copy	true	130	64	65	0	0	0	0	65	0	0	1	1	1	0	743	460	0	65	66	66	0	0	1948	110164	6356	29318	24062	141
grid-carry-k0-w64-n16	Persistent	true	146	64	81	0	0	0	0	65	0	0	1	1	1	0	1421	761	0	81	202	66	0	0	3393	160517	22085	61881	54961	222
grid-carry-k0-w64-n16	Copy	true	146	64	81	0	0	0	0	65	0	0	1	1	1	0	1421	761	0	81	202	66	0	0	3393	160517	22085	61881	54961	227
grid-carry-k0-w64-n128	Persistent	true	258	64	193	0	0	0	0	65	0	0	1	1	1	0	2035	1667	0	193	8322	129	0	0	69912	1633028	835990	1711544	1692976	4536
grid-carry-k0-w64-n128	Copy	true	258	64	193	0	0	0	0	65	0	0	1	1	1	0	2035	1667	0	193	8322	129	0	0	69912	1633028	835990	1711544	1692976	4311
grid-carry-k0-w256-n0	Persistent	true	514	256	257	0	0	0	0	257	0	0	1	1	1	0	3681	2220	0	257	258	258	0	0	8352	462388	15765	100965	80319	1245
grid-carry-k0-w256-n0	Copy	true	514	256	257	0	0	0	0	257	0	0	1	1	1	0	3681	2220	0	257	258	258	0	0	8352	462388	15765	100965	80319	401
grid-carry-k0-w256-n16	Persistent	true	530	256	273	0	0	0	0	257	0	0	1	1	1	0	6290	3256	0	273	394	258	0	0	10499	565397	31494	133498	111218	481
grid-carry-k0-w256-n16	Copy	true	530	256	273	0	0	0	0	257	0	0	1	1	1	0	6290	3256	0	273	394	258	0	0	10499	565397	31494	133498	111218	539
grid-carry-k0-w256-n128	Persistent	true	642	256	385	0	0	0	0	257	0	0	1	1	1	0	6516	4343	0	385	8514	258	0	0	76867	2021341	845399	1767579	1733651	3141
grid-carry-k0-w256-n128	Copy	true	642	256	385	0	0	0	0	257	0	0	1	1	1	0	6516	4343	0	385	8514	258	0	0	76867	2021341	845399	1767579	1733651	3696
grid-carry-k1-w0-n0	Persistent	true	8	1	2	2	2	7	2	3	1	0	2	2	2	0	15	7	0	5	4	4	1	0	139	8171	4055	8347	7831	19
grid-carry-k1-w0-n0	Copy	true	8	1	2	2	2	7	2	3	1	0	2	2	2	0	15	9	2	5	4	4	1	0	142	8323	4055	8347	7831	6
grid-carry-k1-w0-n16	Persistent	true	24	1	18	2	2	7	2	3	1	0	2	2	2	0	99	81	0	21	140	19	1	0	1999	64291	27839	67339	65159	77
grid-carry-k1-w0-n16	Copy	true	24	1	18	2	2	7	2	3	1	0	2	2	2	0	99	99	18	21	140	19	1	0	2018	65595	27839	67339	65159	79
grid-carry-k1-w0-n128	Persistent	true	136	1	130	2	2	7	2	3	1	0	2	2	2	0	878	858	0	133	8260	131	1	0	101236	2366331	1251384	2946916	2933088	4480
grid-carry-k1-w0-n128	Copy	true	136	1	130	2	2	7	2	3	1	0	2	2	2	0	878	988	130	133	8260	131	1	0	101367	2375699	1251384	2946916	2933088	4679
grid-carry-k1-w1-n0	Persistent	true	12	3	4	2	2	7	2	5	1	0	2	2	2	0	25	13	0	7	5	5	1	0	176	10314	4104	8702	8106	19
grid-carry-k1-w1-n0	Copy	true	12	3	4	2	2	7	2	5	1	0	2	2	2	0	25	15	2	7	5	5	1	0	179	10466	4104	8702	8106	7
grid-carry-k1-w1-n16	Persistent	true	28	3	20	2	2	7	2	5	1	0	2	2	2	0	123	95	0	23	141	19	1	0	2041	66609	27888	67468	65208	83
grid-carry-k1-w1-n16	Copy	true	28	3	20	2	2	7	2	5	1	0	2	2	2	0	123	113	18	23	141	19	1	0	2060	67913	27888	67468	65208	82
