case	mode	quantum	limit	status	factors	answers	raw_products	owner_turns	source_turns	applications	products	product_jobs	duplicates	refutations	issued	received	accepted	max_outstanding	owner_buffered_peak	outstanding	buffered	unaccepted_at_shutdown	actual_source_steps	accepted_source_steps	cancelled_requests	unserved_quantum_slots	prefetch_visits
U01-clash	Threads(2)	1	4	pass	1	0	0	3	3	1	0	0	0	1	3	3	3	1	1	0	0	0	3	3	0	0	3
U01-clash	Inline	8	4	pass	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	3	3	0	0	1
U01-clash	Threads(1)	8	4	pass	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	3	3	0	0	1
U01-clash	Threads(2)	8	4	pass	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	3	3	0	0	1
U02-self	Baseline	1	0	pass	1	1	1	4	4	1	1	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0
U02-self	Inline	1	4	pass	1	1	1	4	4	1	1	0	0	0	4	4	4	1	1	0	0	0	4	4	0	0	4
U02-self	Threads(1)	1	4	pass	1	1	1	4	4	1	1	0	0	0	4	4	4	1	1	0	0	0	4	4	0	0	4
U02-self	Threads(2)	1	4	pass	1	1	1	4	4	1	1	0	0	0	4	4	4	1	1	0	0	0	4	4	0	0	4
U02-self	Inline	8	4	pass	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	4	4	0	0	1
U02-self	Threads(1)	8	4	pass	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	4	4	0	0	1
U02-self	Threads(2)	8	4	pass	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	4	4	0	0	1
U03-alias	Baseline	1	0	pass	1	1	1	6	6	1	1	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0
U03-alias	Inline	1	4	pass	1	1	1	6	6	1	1	0	0	0	6	6	6	1	1	0	0	0	6	6	0	0	6
U03-alias	Threads(1)	1	4	pass	1	1	1	6	6	1	1	0	0	0	6	6	6	1	1	0	0	0	6	6	0	0	6
U03-alias	Threads(2)	1	4	pass	1	1	1	6	6	1	1	0	0	0	6	6	6	1	1	0	0	0	6	6	0	0	6
U03-alias	Inline	8	4	pass	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	6	6	0	0	1
U03-alias	Threads(1)	8	4	pass	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	6	6	0	0	1
U03-alias	Threads(2)	8	4	pass	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	6	6	0	0	1
U04-occurs	Baseline	1	0	pass	1	0	0	5	5	1	0	0	0	1	0	0	0	0	0	0	0	0	5	5	0	0	0
U04-occurs	Inline	1	4	pass	1	0	0	5	5	1	0	0	0	1	5	5	5	1	1	0	0	0	5	5	0	0	5
U04-occurs	Threads(1)	1	4	pass	1	0	0	5	5	1	0	0	0	1	5	5	5	1	1	0	0	0	5	5	0	0	5
U04-occurs	Threads(2)	1	4	pass	1	0	0	5	5	1	0	0	0	1	5	5	5	1	1	0	0	0	5	5	0	0	5
U04-occurs	Inline	8	4	pass	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	5	5	0	0	1
U04-occurs	Threads(1)	8	4	pass	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	5	5	0	0	1
U04-occurs	Threads(2)	8	4	pass	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	5	5	0	0	1
U05-conditional-occurs	Baseline	1	0	pass	1	1	1	6	6	1	1	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0
U05-conditional-occurs	Inline	1	4	pass	1	1	1	6	6	1	1	0	0	0	6	6	6	1	1	0	0	0	6	6	0	0	6
U05-conditional-occurs	Threads(1)	1	4	pass	1	1	1	6	6	1	1	0	0	0	6	6	6	1	1	0	0	0	6	6	0	0	6
U05-conditional-occurs	Threads(2)	1	4	pass	1	1	1	6	6	1	1	0	0	0	6	6	6	1	1	0	0	0	6	6	0	0	6
U05-conditional-occurs	Inline	8	4	pass	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	6	6	0	0	1
U05-conditional-occurs	Threads(1)	8	4	pass	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	6	6	0	0	1
U05-conditional-occurs	Threads(2)	8	4	pass	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	6	6	0	0	1
U06-union-cycle	Baseline	1	0	pass	1	2	2	7	7	1	2	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0
U06-union-cycle	Inline	1	4	pass	1	2	2	7	7	1	2	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
U06-union-cycle	Threads(1)	1	4	pass	1	2	2	7	7	1	2	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
U06-union-cycle	Threads(2)	1	4	pass	1	2	2	7	7	1	2	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
U06-union-cycle	Inline	8	4	pass	1	2	2	1	1	1	2	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
U06-union-cycle	Threads(1)	8	4	pass	1	2	2	1	1	1	2	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
U06-union-cycle	Threads(2)	8	4	pass	1	2	2	1	1	1	2	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
V01-fresh	Baseline	1	0	pass	1	1	1	7	7	2	1	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0
V01-fresh	Inline	1	4	pass	1	1	1	7	7	2	1	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
V01-fresh	Threads(1)	1	4	pass	1	1	1	7	7	2	1	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
V01-fresh	Threads(2)	1	4	pass	1	1	1	7	7	2	1	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
V01-fresh	Inline	8	4	pass	1	1	1	1	1	2	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
V01-fresh	Threads(1)	8	4	pass	1	1	1	1	1	2	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
V01-fresh	Threads(2)	8	4	pass	1	1	1	1	1	2	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
app-add-decompose	Baseline	1	0	pass	1	4	4	40	40	4	4	0	0	0	0	0	0	0	0	0	0	0	40	40	0	0	0
app-add-decompose	Inline	1	4	pass	1	4	4	40	40	4	4	0	0	0	40	40	40	1	1	0	0	0	40	40	0	0	40
app-add-decompose	Threads(1)	1	4	pass	1	4	4	40	40	4	4	0	0	0	40	40	40	1	1	0	0	0	40	40	0	0	40
app-add-decompose	Threads(2)	1	4	pass	1	4	4	40	40	4	4	0	0	0	40	40	40	1	1	0	0	0	40	40	0	0	40
app-add-decompose	Inline	8	4	pass	1	4	4	5	5	4	4	0	0	0	5	5	5	1	1	0	0	0	40	40	0	0	5
app-add-decompose	Threads(1)	8	4	pass	1	4	4	5	5	4	4	0	0	0	5	5	5	1	1	0	0	0	40	40	0	0	5
app-add-decompose	Threads(2)	8	4	pass	1	4	4	5	5	4	4	0	0	0	5	5	5	1	1	0	0	0	40	40	0	0	5
app-add-failure	Baseline	1	0	pass	1	0	0	24	24	3	0	0	0	1	0	0	0	0	0	0	0	0	24	24	0	0	0
app-add-failure	Inline	1	4	pass	1	0	0	24	24	3	0	0	0	1	24	24	24	1	1	0	0	0	24	24	0	0	24
app-add-failure	Threads(1)	1	4	pass	1	0	0	24	24	3	0	0	0	1	24	24	24	1	1	0	0	0	24	24	0	0	24
app-add-failure	Threads(2)	1	4	pass	1	0	0	24	24	3	0	0	0	1	24	24	24	1	1	0	0	0	24	24	0	0	24
app-add-failure	Inline	8	4	pass	1	0	0	3	3	3	0	0	0	1	3	3	3	1	1	0	0	0	24	24	0	0	3
app-add-failure	Threads(1)	8	4	pass	1	0	0	3	3	3	0	0	0	1	3	3	3	1	1	0	0	0	24	24	0	0	3
app-add-failure	Threads(2)	8	4	pass	1	0	0	3	3	3	0	0	0	1	3	3	3	1	1	0	0	0	24	24	0	0	3
app-add-forward	Baseline	1	0	pass	1	1	1	25	25	3	1	0	0	0	0	0	0	0	0	0	0	0	25	25	0	0	0
app-add-forward	Inline	1	4	pass	1	1	1	25	25	3	1	0	0	0	25	25	25	1	1	0	0	0	25	25	0	0	25
app-add-forward	Threads(1)	1	4	pass	1	1	1	25	25	3	1	0	0	0	25	25	25	1	1	0	0	0	25	25	0	0	25
app-add-forward	Threads(2)	1	4	pass	1	1	1	25	25	3	1	0	0	0	25	25	25	1	1	0	0	0	25	25	0	0	25
app-add-forward	Inline	8	4	pass	1	1	1	4	4	3	1	0	0	0	4	4	4	1	1	0	0	0	25	25	0	0	4
app-add-forward	Threads(1)	8	4	pass	1	1	1	4	4	3	1	0	0	0	4	4	4	1	1	0	0	0	25	25	0	0	4
app-add-forward	Threads(2)	8	4	pass	1	1	1	4	4	3	1	0	0	0	4	4	4	1	1	0	0	0	25	25	0	0	4
