mode,family,n,reuse,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
fused-shared,duplicates,3,1,1113167,172293,508764,403821,516285
fused-shared,duplicates,3,4,3250316,172293,1250948,997086,1466717
fused-shared,shared,0,1,11747,6975,13818,9294,15393
fused-shared,shared,0,4,16013,6975,19177,10190,22133
fused-shared,shared,1,1,38231,11286,25752,21320,38478
fused-shared,shared,1,4,90452,11286,72216,50015,80671
fused-shared,shared,3,1,1074747,172293,478778,288340,502802
fused-shared,shared,3,4,3096636,172293,1064114,823930,1615210
fused-shared,spare,0,1,17804,7603,21814,21680,23843
fused-shared,spare,0,4,33986,7603,28336,20630,37642
fused-shared,spare,1,1,272904,42714,147335,137121,164131
fused-shared,spare,1,4,676269,42714,301012,185645,303367
fused-shared,spare,3,1,4191571,531586,1032455,992523,1603896
fused-shared,spare,3,4,11519809,531586,3006030,2617425,5087837
fused-conditional,plain,0,1,18951,9881,20319,13776,21663
fused-conditional,plain,0,4,41478,9881,31231,17429,52610
fused-conditional,plain,1,1,56765,13526,69693,39723,79740
fused-conditional,plain,1,4,178916,13526,191540,123065,202936
fused-conditional,plain,3,1,877943,85738,950234,580359,980356
fused-conditional,plain,3,4,3444260,85738,2114807,2088844,2728001
fused-conditional,choices,0,1,20838,11137,22187,21474,25704
fused-conditional,choices,0,4,43365,11137,32593,32002,36157
fused-conditional,choices,1,1,70705,16527,85190,53906,90547
fused-conditional,choices,1,4,229015,16527,243918,223681,277106
fused-conditional,choices,3,1,974905,88106,994387,629807,1134648
fused-conditional,choices,3,4,3826447,88106,2698573,2487755,4231182
fused-conditional,duplicates,0,1,20838,11137,15589,12560,25291
fused-conditional,duplicates,0,4,43365,11137,32482,21722,34255
fused-conditional,duplicates,1,1,70704,16525,90468,57479,95126
fused-conditional,duplicates,1,4,229011,16525,244514,137418,267867
fused-conditional,duplicates,3,1,974904,87926,1102002,673778,1196519
fused-conditional,duplicates,3,4,3826443,87926,2528517,2468057,2577016
fused-conditional,shared,0,1,20838,11137,22198,15330,23182
fused-conditional,shared,0,4,43365,11137,32794,23811,43346
fused-conditional,shared,1,1,70705,16527,84272,54127,95550
fused-conditional,shared,1,4,229015,16527,161492,142255,266999
fused-conditional,shared,3,1,956845,87830,634731,609104,1079838
fused-conditional,shared,3,4,3755359,87830,2423890,2361018,2626806
fused-conditional,spare,0,1,33791,12647,37315,22815,42500
fused-conditional,spare,0,4,88292,12647,91562,58591,99349
fused-conditional,spare,1,1,250201,39206,293531,200971,377243
fused-conditional,spare,1,4,938068,39206,1051855,638738,1078309
fused-conditional,spare,3,1,4509019,378310,2911329,2681806,3176066
fused-conditional,spare,3,4,17946196,378310,11720444,11012959,12462222
