kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_cold_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,2,before-clash,ordinary,1,92918,34028,34243,11830,12817,,69992,,
time,2,before-clash,indexed,8,3467338,3065246,353815,38808,9469,,417377,,
time,2,before-clash,exact,8,664652,290236,312824,28606,32986,,80078,,
time,2,trivial,conditional,8,7396361,7285448,16930,42711,51272,752239,719686,,
time,2,after-success,exact,1,211850,125820,42463,32095,11472,173620,133665,,
time,2,trivial,indexed,8,2489589,2323569,81088,49390,35542,260706,225197,,
time,2,before-success,exact,8,1280377,851659,286654,16457,125607,139227,130663,,
time,2,after-success,dependencies,1,152152,82008,34898,26219,9027,121503,119353,,
time,2,before-success,graph,1,1587244,1533916,17672,25009,10647,335644,363013,,
time,2,trivial,exact,1,109706,80284,1589,20687,7146,75264,72702,,
time,2,unique,exact,8,1465760,968147,318686,26305,152622,156714,143730,,
time,2,before-success,indexed,1,731064,638435,38769,38040,15820,546262,630314,,
time,2,before-success,direct,1,180909,107413,35790,28242,9464,148368,137438,,
time,2,after-success,indexed,1,664057,573760,39391,43045,7861,487712,566878,,
time,2,after-clash,dependencies,1,108227,52901,34086,14343,6897,,94675,,
time,2,trivial,exact,8,691299,633866,8736,19194,29503,72709,72868,,
time,2,after-success,exact,8,1300953,842826,303115,16370,138642,134096,132087,,
time,2,unique,indexed,1,662986,553942,39055,59438,10551,484133,580729,,
time,2,unique,graph,8,32519507,32137360,168157,24968,189022,393843,379035,,
time,2,trivial,graph,1,1804265,1771157,1684,22520,8904,297757,295978,,
time,2,before-clash,graph,8,610481,401328,166995,23755,18403,,62307,,
time,2,before-success,indexed,8,7030403,6506692,366580,39913,117218,670859,796749,,
time,2,before-clash,dependencies,1,81310,28814,33091,12961,6444,,68594,,
time,2,after-clash,exact,1,111219,55606,33801,14687,7125,,95334,,
time,2,after-clash,dependencies,8,821041,444160,319102,24136,33643,,94221,,
time,2,after-clash,exact,8,896739,512692,322881,23547,37619,,102145,,
time,2,after-success,graph,1,4148348,4087670,18424,31337,10917,376799,356677,,
time,2,before-clash,indexed,1,426832,347236,38898,36651,4047,,429631,,
time,2,after-clash,indexed,1,490347,408764,38895,38594,4094,,451063,,
time,2,unique,ordinary,8,1368417,885328,305369,23887,153833,146660,148202,,
time,2,before-success,exact,1,205161,129915,35181,28656,11409,166798,153297,,
time,2,trivial,conditional,1,916229,870419,1721,33264,10825,768131,744906,,
time,2,unique,direct,8,1406039,913816,311360,24606,156257,152389,147664,,
time,2,after-clash,graph,8,27726215,27510227,163218,25135,27635,,3714342,,
time,2,unique,direct,1,192396,108452,35542,36980,11422,159583,141007,,
time,2,before-success,direct,8,1322648,865529,309586,17205,130328,135919,136014,,
time,2,after-success,dependencies,8,1135914,683085,302551,16698,133580,116705,108556,,
time,2,trivial,ordinary,1,95535,67336,1713,20196,6290,67676,57110,,
time,2,trivial,dependencies,1,96204,68274,1619,19683,6628,69360,70298,,
time,2,before-clash,dependencies,8,588993,231113,302838,23653,31389,,71487,,
time,2,after-clash,direct,1,110563,53494,35458,14767,6844,,104255,,
time,2,after-success,direct,8,1232735,790088,295288,16043,131316,128613,124284,,
time,2,before-clash,direct,8,628714,262414,307437,27651,31212,,77447,,
time,2,trivial,indexed,1,326269,272567,2483,44777,6442,247974,239909,,
time,2,after-clash,direct,8,822585,459533,306964,23226,32862,,98002,,
time,2,after-success,ordinary,1,168383,95876,36078,26931,9498,137128,127836,,
time,2,before-clash,conditional,1,149106,77978,39867,22120,9141,,119959,,
time,2,after-clash,conditional,8,84455570,83976358,383974,42315,52923,,10481658,,
time,2,trivial,direct,1,121332,88992,2004,23359,6977,91341,60900,,
time,2,after-clash,conditional,1,11080477,10983494,43323,33119,20541,,11064839,,
time,2,before-success,conditional,1,1063606,964040,43771,41351,14444,898074,862768,,
time,2,unique,indexed,8,5642626,5130868,372602,61348,77808,555217,613595,,
time,2,before-success,ordinary,8,1310793,859451,297440,22146,131756,140516,128663,,
time,2,unique,ordinary,1,218497,122684,43920,39524,12369,182235,150342,,
time,2,after-success,indexed,8,5407524,4935637,382831,50035,39021,539461,657107,,
time,2,after-success,direct,1,193832,113156,43134,28021,9521,158204,132710,,
time,2,after-clash,graph,1,3684391,3636053,17292,13984,17062,,3539593,,
time,2,before-success,ordinary,1,180870,104491,35790,28683,11906,146892,137787,,
time,2,before-clash,graph,1,78308,44007,14164,9339,10798,,60032,,
time,2,before-clash,ordinary,8,625139,258141,315557,21574,29867,,71453,,
time,3,before-success,dependencies,8,1213139,762051,305553,16869,128666,150636,116276,,
time,3,trivial,ordinary,1,93932,65559,1871,20218,6284,68069,56815,,
time,3,unique,dependencies,1,269770,186361,35216,35957,12236,236212,222296,,
time,3,trivial,ordinary,8,620033,564632,8649,18622,28130,65067,67242,,
time,3,unique,indexed,8,5612903,5109167,380857,59441,63438,560805,605504,,
time,3,after-clash,ordinary,8,809320,433844,319378,22819,33279,,97604,,
time,3,unique,direct,8,1384988,885591,324106,24464,150827,159504,137697,,
time,3,before-clash,indexed,8,3407118,3027946,333908,39426,5838,,437421,,
time,3,before-success,indexed,8,6820373,6307832,357649,41191,113701,664730,808643,,
time,3,trivial,dependencies,8,693376,622514,9270,24767,36825,80574,64198,,
time,3,before-clash,ordinary,8,623922,258741,310231,24363,30587,,74196,,
time,3,before-success,direct,8,1312505,869101,296159,16190,131055,133950,134360,,
time,3,after-success,dependencies,1,162441,85206,36448,27558,13229,127156,127369,,
time,3,trivial,exact,1,103002,72830,1573,21584,7015,75739,64716,,
time,3,before-clash,ordinary,1,107835,37872,39785,15286,14892,,68235,,
time,3,after-success,indexed,8,5740812,5242053,392296,49152,57311,556975,569971,,
time,3,after-clash,dependencies,8,813609,436786,316711,24351,35761,,111448,,
